service_id,date,exception_type
305,20180903,2
64,20180903,2
58,20180903,2
305,20181122,2
64,20181122,2
58,20181122,2
305,20181225,2
64,20181225,2
58,20181225,2
305,20190101,2 
64,20190101,2
58,20190101,2
305,20190121,1
64,20190121,1
58,20190121,1
305,20190421,2
64,20190421,2
58,20190421,2
